,Date,PHIA,VOW3,INGA,CS,OR,DTE,BMW,KER,BAS,SAN,AI,VIV,ENEL,KNEBV,IBE,VNA,ENI,ALV,RI,SIE,AMS,SAN_MC,DG,ABI,SU,LIN,EL,ADYEN,FP,DPW,BNP,ENGI,AD,MUV2,CRH,ISP,ADS,BN,DAI,BAYN,SAF,DB1,SAP,ASML,AIR,MC
76,1995-07-11,1.402097,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.189813000000001,,3.224723,,,5.801629,,,,,,,,
77,1995-07-12,1.448536,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.267123,,3.224723,,,5.801629,,,,,,,,
78,1995-07-13,1.459254,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.267123,,3.224723,,,5.801629,,,,,,,,
79,1995-07-14,1.432461,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.267123,,3.224723,,,5.801629,,,,,,,,
80,1995-07-17,1.4538959999999999,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.241353,,3.248177,,,5.801629,,,,,,,,
81,1995-07-18,1.432461,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.267123,,3.2833550000000002,,,5.801629,,,,,,,,
82,1995-07-19,1.382451,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.189813000000001,,3.23645,,,5.801629,,,,,,,,
83,1995-07-20,1.369948,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.292892999999999,,3.259902,,,5.801629,,,,,,,,
84,1995-07-21,1.396739,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.267123,,3.259902,,,5.801629,,,,,,,,
85,1995-07-24,1.448536,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.318664999999999,,3.259902,,,5.801629,,,,,,,,
86,1995-07-25,1.441392,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.318664999999999,,3.377165,,,5.801629,,,,,,,,
87,1995-07-26,1.434248,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.344433,,3.330261,,,5.801629,,,,,,,,
88,1995-07-27,1.400311,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.421742,,3.424071,,,5.801629,,,,,,,,
89,1995-07-28,1.3735190000000002,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.473281,,3.424071,,,5.801629,,,,,,,,
90,1995-07-31,1.3628049999999998,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.421742,,3.424071,,,5.801629,,,,,,,,
91,1995-08-01,5.813363,,2.50152,1.118205,,,,,,,,,,,,,,,,,,,,,,,,,,,4.076099,,7.550592999999999,,3.424071,,,5.930349,,,,,,,,
92,1995-08-02,5.90303,,2.5378939999999997,1.14616,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.421742,,3.341986,0.379467,,6.036084,,,,,,,,
93,1995-08-03,5.708754,,2.535098,1.14616,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.473281,,3.424071,0.378292,,6.054473000000001,,,,,,,,
94,1995-08-04,5.663921,,2.5378939999999997,1.118205,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.550592999999999,,3.424071,0.378685,,6.095847,,,,,,,,
95,1995-08-07,5.663921,,2.5378939999999997,1.118205,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14761,,7.447512,,3.424071,0.38259499999999996,,6.12343,,,,,,,,
96,1995-08-08,5.738641,,2.532298,1.14616,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1118559999999995,,7.421742,,3.400618,0.383377,,6.12343,,,,,,,,
97,1995-08-09,5.783476,,2.529502,1.14616,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0284260000000005,,7.499053,,3.400618,0.383377,,6.095847,,,,,,,,
98,1995-08-10,5.8581970000000005,,2.5267020000000002,1.174116,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0284260000000005,,7.370203,,3.259902,0.387291,,6.15561,,,,,,,,
99,1995-08-11,5.90303,,2.5099110000000002,1.174116,,,,,,,,,,,,,,,,,,,,,,,,,,,4.016507,,7.421742,,3.259902,0.386509,,6.0912489999999995,,,,,,,,
100,1995-08-14,5.888086,,2.507115,1.174116,,,,,,,,,,,,,,,,,,,,,,,,,,,4.016507,,7.421742,,3.259902,0.386509,,6.0912489999999995,,,,,,,,
101,1995-08-15,5.9777510000000005,,2.521106,1.174116,,,,,,,,,,,,,,,,,,,,,,,,,,,4.016507,,7.318664999999999,,3.189546,0.386509,,6.0912489999999995,,,,,,,,
102,1995-08-16,5.932917,,2.5099110000000002,1.202071,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1118559999999995,,7.421742,,3.189546,0.387291,,6.15561,,,,,,,,
103,1995-08-17,5.7236970000000005,,2.50152,1.202071,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0284260000000005,,7.267123,,3.212997,0.390419,,6.132623000000001,,,,,,,,
104,1995-08-18,5.798419,,2.523903,1.202071,,,,,,,,,,,,,,,,,,,,,,,,,,,3.980752,,7.395972,,3.212997,0.383377,,6.187791000000001,,,,,,,,
105,1995-08-21,5.813363,,2.5434900000000003,1.230026,,,,,,,,,,,,,,,,,,,,,,,,,,,3.980752,,7.447512,,3.212997,0.381813,,6.201581,,,,,,,,
106,1995-08-22,5.90303,,2.5546849999999997,1.202071,,,,,,,,,,,,,,,,,,,,,,,,,,,3.933079,,7.370203,,3.212997,0.381031,,6.137221,,,,,,,,
